license_type_code,field_label,field_type,field_options,section_name,field_order,is_required
S.A.-1,"If yes, then details (Recovery)",text,,(4) Recovery Details,25,0
S.A.-1,Further details regarding recovery,text,,(4) Recovery Details,26,0
S.A.-1,No. of Products approved as per GPCB,text,,(5) Product Details,27,0
S.A.-1,No.of Products as per License and other details,text,,(5) Product Details,28,0
S.A.-1,Stage Wise Production or not?,dropdown,"[""Yes"",""No""]",(5) Product Details,29,0
S.A.-1,Continuous Production or not?,dropdown,"[""Yes"",""No""]",(5) Product Details,30,0
S.A.-1,Formulae and Flow Chart of each product approved or not?,dropdown,"[""Yes"",""No""]",(5) Product Details,31,0
S.A.-1,Product wise Issue Slip with due signatures prepared or not?,dropdown,"[""Yes"",""No""]",(5) Product Details,32,0
S.A.-1,Whether Quota and Limit for each product in last 3 Years adhered or not?,dropdown,"[""Yes"",""No""]",(5) Product Details,33,0
S.A.-1,Whether any other product produced other than the approved ones?,dropdown,"[""Yes"",""No""]",(5) Product Details,34,0
S.A.-1,Whether Register is maintained in the due Format or not?,dropdown,"[""Yes"",""No""]",(6) Upkeep of Register and Stock Details,35,0
S.A.-1,Stock Details as per register,text,,(6) Upkeep of Register and Stock Details,36,0
S.A.-1,Stock Details (Actual Level/No. of Bags/ CMs/No. of Barrels etc.),text,,(6) Upkeep of Register and Stock Details,37,0
S.A.-1,Stock Details (actual),text,,(6) Upkeep of Register and Stock Details,38,0
S.A.-1,Stock recorded as per Weigh Slip or Not?,dropdown,"[""Yes"",""No""]",(6) Upkeep of Register and Stock Details,39,0
S.A.-1,Excess/Shortage etc. if any,text,,(6) Upkeep of Register and Stock Details,40,0
S.A.-1,Whether reported by the Licensee or not?,dropdown,"[""Yes"",""No""]",(6) Upkeep of Register and Stock Details,41,0
S.A.-1,PESO,dropdown,"[""Yes"",""No"",""Not Applicable""]",(7) Regulatory Permission Details,42,0
S.A.-1,Poison,dropdown,"[""Yes"",""No"",""Not Applicable""]",(7) Regulatory Permission Details,43,0
S.A.-1,FireNOC,dropdown,"[""Yes"",""No"",""Not Applicable""]",(7) Regulatory Permission Details,44,0
S.A.-1,GPCB,dropdown,"[""Yes"",""No"",""Not Applicable""]",(7) Regulatory Permission Details,45,0
S.A.-1,Factory License,dropdown,"[""Yes"",""No"",""Not Applicable""]",(7) Regulatory Permission Details,46,0
S.A.-1,APP,dropdown,"[""Yes"",""No"",""Not Applicable""]",(7) Regulatory Permission Details,47,0
S.A.-1,FDCA Approval,dropdown,"[""Yes"",""No"",""Not Applicable""]",(7) Regulatory Permission Details,48,0
S.A.-1,Director List/Partner List,dropdown,"[""Updated"",""Not Updated"",""Not Applicable""]",(7) Regulatory Permission Details,49,0
S.A.-1,Challan Required for Purchase or Sale or Not?,dropdown,"[""Yes"",""No""]",(8) Other Details,50,0
S.A.-1,Stamped Challan used for Purchase of Methanol?,dropdown,"[""Yes"",""No"",""Not Applicable""]",(8) Other Details,51,0
S.A.-1,Supervision/Escort Required or not?,dropdown,"[""Yes"",""No""]",(8) Other Details,52,0
S.A.-1,Supervision Charges paid in Advance or not?,dropdown,"[""Yes"",""No""]",(8) Other Details,53,0
S.A.-1,Difference paid by the Licensee or not?,dropdown,"[""Yes"",""No""]",(8) Other Details,54,0
S.A.-1,Any other dues to be levied from the Licensees?,text,,(8) Other Details,55,0
S.A.-1,Is there any Prima Facie short levy of Charges/Fee?,dropdown,"[""Yes"",""No""]",(8) Other Details,56,0
S.A.-1,Violations found or not?,dropdown,"[""Yes"",""No""]",(9) Details of Violations by the Licensee,57,0
S.A.-1,If Yes then under Which rules?,text,,(9) Details of Violations by the Licensee,58,0
S.A.-1,Name of Relevant Authority/rules etc.,text,,(9) Details of Violations by the Licensee,59,0
S.A.-1,"Other Remarks, if any",textarea,,(9) Details of Violations by the Licensee,60,0
S.A.-1,Name of other Subordinates present during the inspection,text,,(9) Details of Violations by the Licensee,61,0
S.A.-1,Violations noted and statement taken of the authorised person,checkbox,"[""Yes""]",(9) Details of Violations by the Licensee,62,0
S.A.-1,Production/Usage/Purchase stopped to prevent further violation,checkbox,"[""Yes""]",(9) Details of Violations by the Licensee,63,0
S.A.-1,Sealing/Confiscation of Prohibited Article Required with Panchnama,checkbox,"[""Yes""]",(9) Details of Violations by the Licensee,64,0
S.A.-1,Licensee given time of fortnight to submit records,checkbox,"[""Yes""]",(9) Details of Violations by the Licensee,65,0
S.A.-1,Violations noted and instructions given for correction,checkbox,"[""Yes""]",(9) Details of Violations by the Licensee,66,0
S.A.-1,Officer's Signature,text,,(9) Details of Violations by the Licensee,67,0
S.A.-1,Date,date,,(9) Details of Violations by the Licensee,68,0
D.S.P.-1,Name of Licensee,text,,(1) Location of Inspection,1,0
D.S.P.-1,Address,text,,(1) Location of Inspection,2,0
D.S.P.-1,Whether Nokarnama Holder is present,dropdown,"[""Yes"",""No""]",(1) Location of Inspection,3,0
D.S.P.-1,Name of Authorised Person/Nokarnama Holder,text,,(1) Location of Inspection,4,0
D.S.P.-1,District,text,,(1) Location of Inspection,5,0
